Name;RAdeg;DEdeg;PosErr;Coord_Ref;GLON;GLAT;Xray_Type;Porb;Ppulse;Alt_Name;SpType;Vmag;e_Vmag;Gaia_DR3_ID;Gmag;e_Gmag;BP-RP;_2MASS_ID;Jmag;e_Jmag;Hmag;e_Hmag;Kmag;e_Kmag;WISE_ID;W1mag;e_W1mag;W2mag;e_W2mag;N_H;Min_Soft_Flux;Max_Soft_Flux;Soft_Xray_Var;Soft_Xray_Range;Min_Hard_Flux;Max_Hard_Flux;Hard_Xray_Var;Hard_Xray_Range;AG;Mean_Dist;Low_Dist;High_Dist;Incl;Mx;Mopt;B-V;E_B-V_;tMSP_Flag;Liu07_IDX;RK03_IDX;Orb_Ref;Pulse_Ref;Spect_Ref;Vmag_Ref;Gmag_Ref;JHK_Ref;WISE_Ref;N_H_Ref;AG_Ref;Dist_Ref;Mass_Ref
IGR J17361-4441;264.072575;-44.734994444444446;0.04;2010ApJS..189...37E;345.55719012190207;-6.737933465828334;GC, XT, BH?;;;;;;;;;;;;;;;;;;;;;;;0.53;0.582516;33.141400000000004;56.893544554999345;0.2,12.0;;;;;1.8466898954703832;9600.0;9100.0;10100.0;;;;;;;;;;;;;;;;2014A&A...570L...2B;2014A&A...570L...2B;2010ApJ...717..653L;
CXOGlb J173617.5-444357;264.07300000000004;-44.732536111111116;1.113856804753153;2010ApJS..189...37E;345.55945127002923;-6.736888413141591;GC, XT?;;;;;;;;;;;;;;;;;;;;;;;0.53;0.582516;33.141400000000004;56.893544554999345;0.2,12.0;;;;;1.8466898954703832;9600.0;9100.0;10100.0;;;;;;;;;;;;;;;;2014A&A...570L...2B;2014A&A...570L...2B;2010ApJ...717..653L;
CXOGlb J173617.6-444416;264.07367916666664;-44.737994444444446;1.0069200739427326;2010ApJS..189...37E;345.5550451434992;-6.7401868241686405;GC, XT?;;;;;;;;;;;;;;;;;;;;;;;0.53;;;;;;;;;1.8466898954703832;9600.0;9100.0;10100.0;;;;;;;;;;;;;;;;2014A&A...570L...2B;2014A&A...570L...2B;2010ApJ...717..653L;
CXOGlb J173618.1-444359;264.07576666666665;-44.73320277777778;1.113856804753153;2010ApJS..189...37E;345.5599292250478;-6.7389088232961205;GC, XT?;;;;;;;;;;;;;;;;;;;;;;;0.53;0.582516;33.141400000000004;56.893544554999345;0.2,12.0;;;;;1.8466898954703832;9600.0;9100.0;10100.0;;;;;;;;;;;;;;;;2014A&A...570L...2B;2014A&A...570L...2B;2010ApJ...717..653L;
CXOGBS J173620.2-293338;264.08412715237;-29.56082663648;0.00014974328031668065;2022yCat.1355....0G;358.3977332953529;1.386997441698855;XT;;;CX332;C-R/N;;;4060066227422719872;16.684202;0.006839;4.565607;17362020-2933389;11.541999816894531;0.04699999839067459;10.130000114440918;0.04600000008940697;9.64900016784668;0.04800000041723251;J173620.11-293338.2;8.961000442504883;0.013000000268220901;8.949999809265137;0.008999999612569809;1.6668385472297669;0.0014809809329888166;0.03569543787203815;24.102564102564102;0.3,8.0;;;;;5.807799816131592;1873.372;1811.9224;1944.6406;;;;;;;;;;;2014ApJ...780...11H;;2022yCat.1355....0G;2003yCat.2246....0C;2021ApJS..253....8M;2022yCat.1355....0G;2022yCat.1355....0G;2022yCat.1355....0G;
IGR J17379-3747;264.494875;-37.772194444444445;0.32;2011A&A...533A...3C;351.6476487370522;-3.3052930418227704;XT, XP;0.07833333333333332;0.002136;;;;;;;;;;;;;;18.3;0.1;;;;;;0.8797999733700238;;288.00000000000006;;0.5,10.0;;;;;3.065505133693463;;;;;1.4;;;1.506;;;;2018A&A...616L..17S;2018A&A...616L..17S;;;;2011A&A...533A...3C;;2020yCat.9058....0E;2020yCat.9058....0E;;
SLX 1735-269;264.5711019;-26.9946162;3.1607671635469607;2010ApJS..189...37E;0.7955368184116249;2.40004514978795;XB;;;;;;;;;;;;;;;;;;;;;;;1.4700000000000002;;50400.0;;3.0,10.0;12.600000000000001;288.00000000000006;22.85714285714286;20.0,60.0;5.121951219512195;5800.0;4500.0;7300.0;;1.4;;;;;82.0;;;;;;;;;2017ATel10115....1S;2017ATel10115....1S;2008ApJS..179..360G;
4U 1735-28;264.64166666666665;-28.47833333333333;420.0;2007A&A...469..807L;359.57332050431563;1.555467958627132;XT;;;;;;;;;;;;;;;;;;;;;;;;;11900.000000000002;;3.0,10.0;;1960.0;;20.0,60.0;;8500.0;7500.0;10000.0;;;;;;;84.0;;;;;;;;;;;1998A&ARv...8..279C;
CXOGBS J173838.7-283539;264.6614638;-28.594264;2.5742076472421265;2010ApJS..189...37E;359.48452508450407;1.4788957359710597;QNS?;;;;;;;;;;;;;;;;;;;;;;;;;0.07154166648422887;;0.5,10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
4U 1735-44;264.74263839545;-44.45022771251;0.00012305811635158407;2022yCat.1355....0G;346.05400376658247;-6.9938197582747135;XB, AS, RP?;0.19375;;MXB 1735-44;;17.5;;5955379701104735104;17.630505;0.006566;0.432032;;;;;;;;J173858.15-442700.7;16.763999938964844;0.06499999761581421;16.128999710083008;0.07900000363588333;0.3990999917783186;190.78000000000003;13560.000233781011;71.07663399612647;0.3,10.0;267.41001091003415;518.61;1.9393813950162029;14.0,195.0;0.00039999998989515007;4397.172;4377.3716;4414.982;44.0;1.9;0.53;0.20000000298023224;0.15000000596046448;;85.0;62.0;2007A&A...469..807L;;;2007A&A...469..807L;2022yCat.1355....0G;;2021ApJS..253....8M;2020yCat.9058....0E;2022yCat.1355....0G;2022yCat.1355....0G;2006MNRAS.373.1235C
