Name;RAdeg;DEdeg;PosErr;Coord_Ref;GLON;GLAT;Xray_Type;Porb;Ppulse;Alt_Name;SpType;Vmag;e_Vmag;Gaia_DR3_ID;Gmag;e_Gmag;BP-RP;_2MASS_ID;Jmag;e_Jmag;Hmag;e_Hmag;Kmag;e_Kmag;WISE_ID;W1mag;e_W1mag;W2mag;e_W2mag;N_H;Min_Soft_Flux;Max_Soft_Flux;Soft_Xray_Var;Soft_Xray_Range;Min_Hard_Flux;Max_Hard_Flux;Hard_Xray_Var;Hard_Xray_Range;AG;Mean_Dist;Low_Dist;High_Dist;Incl;Mx;Mopt;B-V;E_B-V_;tMSP_Flag;Liu07_IDX;RK03_IDX;Orb_Ref;Pulse_Ref;Spect_Ref;Vmag_Ref;Gmag_Ref;JHK_Ref;WISE_Ref;N_H_Ref;AG_Ref;Dist_Ref;Mass_Ref
IGR J17451-3022;266.2779166666666;-30.378694444444445;0.6;2010ApJS..189...37E;358.7115166336552;-0.6579873927453841;XT, DS, EB;0.26184;;;;;;;;;;;;;;;17.59;0.14;;;;;;;4.626000103813421;294.5000077136939;63.6619111769851;0.3,10.0;;;;;;;;;;;0.8;;;;;51.0;2003A&A...404..301R;;;;;2019MNRAS.482.2149L;;;;;2016A&A...595A..52Z
SWIFT J174510.8-262411;266.29520833333333;-26.403499999999998;0.3;2013MNRAS.432.1133M;2.110865761216965;1.4032168502227291;XT, BH?, MQ?, RP?;0.875;;;K0V;20.0;0.2;;21.29;0.12;;;;;;;18.63;0.15;;;;;;1.7;;4711.462031094752;;0.6,10.0;1512.0000000000002;14808.000000000002;9.793650793650793;20.0,40.0;5.923344947735192;;;7000.0;;;;;;;;;2013MNRAS.432.1133M;;2019MNRAS.482.2149L;2013MNRAS.432.1133M;2013MNRAS.432.1133M;2019MNRAS.482.2149L;;2012ATel.4393....1T;2012ATel.4393....1T;2013MNRAS.432.1133M;
1E 1742.2-2857;266.36083333333335;-28.983333333333334;240.0;2003A&A...411L..59E;359.939611772776;0.008397889598652087;;;;;;;;;;;;;;;;;;;;;;;;6.0;0.28;3.17;11.321428571428571;3.0,10.0;;0.104;;20.0,60.0;20.905923344947734;8500.0;;;;;;;;;99.0;;;;;;;;;1981ApJ...250..142W;1981ApJ...250..142W;1981ApJ...250..142W;
IGR J17454-2919;266.365348;-29.331514;0.1131370849898476;2003yCat.2246....0C;359.6445448800156;-0.17648345671125049;BH?, XT;;;;M-K?;;;;;;;17452768-2919534;16.227;;13.038;0.065;11.365;0.026;;;;;;11.0;;240.0;;3.0,10.0;;550.0;;20.0,60.0;38.32752613240418;8000.0;;;;;;;;;;;;;2015ApJ...808...34P;;;2003yCat.2246....0C;;2015ApJ...808...34P;2015ApJ...808...34P;2015ApJ...808...34P;
GPS 1742-326;266.3708333333333;-32.69333333333333;;2007A&A...469..807L;356.77690134846716;-1.932017599676667;;;;;;;;;;;;;;;;;;;;;;;;2.5703957827688644;36.4;120.0;3.296703296703297;3.0,10.0;;1.19;;20.0,60.0;8.956082866790469;8500.0;;;;;;;;;98.0;;;;;;;;;1990PASJ...42L..83Y;1990PASJ...42L..83Y;1990PASJ...42L..83Y;
CXOGC J174535.5-290124;266.39824999999996;-29.02336111111111;0.6;2010ApJS..189...37E;359.9225073277019;-0.04039289164584133;XT;;;;;;;;;;;;;;;;;;;;;;;15.0;0.0023330442513951;48.792;20913.448157197898;0.2,12.0;;;;;52.26480836236934;8000.0;;;;;;;;;;;;;;;;;;2008ATel.1531....1D;2008ATel.1531....1D;2012A&A...545A..49D;
AX J1745.6-2901;266.39854166666663;-29.02611111111111;1.0040915989391666;2009A&A...495..547D;359.92029306858484;-0.04204352868551606;XB, XT, RP, EB;0.3479513888888889;;1A 1742-289;;;;;;;;;;;;;;;;;;;;22.0;0.0022834248802866;327.632;143482.71442101386;0.2,12.0;2.78;71.78599972724913;25.822302060161558;3.0,10.0;76.65505226480836;8300.0;;;;1.4;0.8;;47.0;;96.0;40.0;2009PASJ...61S..99H;;;;;;;2021ATel14788....1D;2021ATel14788....1D;2018MNRAS.473.2304P;2022MNRAS.514.5375B
Swift J174535.5-285921;266.39894166666664;-28.991405555555556;0.6;2010ApJS..189...37E;359.9500969382647;-0.02425792732348017;XT;;;CXOGC J174535.6-285928;;;;;;;;;;;;;;;;;;;;5.0;0.0008521461672955327;0.8;938.8060765900882;0.5,10.0;;;;;17.421602787456443;8000.0;;;;;;;;;;;;;;;;;;2011ATel.3525....1C;2011ATel.3525....1C;2011ATel.3525....1C;
GC X-2;266.40416666666664;-29.452777777777776;;2007A&A...469..807L;359.5586777330268;-0.2685474263279257;;;;X1742-294;;;;;;;;;;;;;;;;;;;;5.0;;620.0;;2.0,10.0;;;;;17.421602787456443;8500.0;;;;;;;;;100.0;;;;;;;;;1978ApJ...222L..95C;1978ApJ...222L..95C;1978ApJ...222L..95C;
CXOGC J174538.0-290022;266.40861;-29.00619;1.0508073096937007;2010ApJS..189...37E;359.9418839287021;-0.039178846655493815;XT;;;;;;;;;;;;;;;;;;;;;;;20.0;0.033010899999999996;1.3766900000000002;41.70410379601889;0.2,12.0;;;;;69.68641114982577;8000.0;;;;;;;;;;;;;;;;;;2022ATel15238....1R;2022ATel15238....1R;2022ATel15238....1R;
CXOGC J174540.0-290031;266.4167916666666;-29.00861111111111;0.3;2010ApJS..189...37E;359.9435450749621;-0.046547780469439345;RP?, XT, MQ?, EB, BH?;0.32916666666666666;;J1745-2900;K0?;;;;;;;;;;;;;;;;;;;6.0;0.0005118035094048971;102.551;200371.8187068351;0.2,12.0;;;;;20.905923344947734;7940.0;;;;;;;;;118.0;42.0;2007A&A...469..807L;;2005A&A...443..571P;;;;;2005A&A...443..571P;2005A&A...443..571P;2005A&A...443..571P;
CXOGC J174540.0-290005;266.4169583333333;-29.00161111111111;0.1;2010ApJS..189...37E;359.94959614914256;-0.043025597847302845;XT;0.05833333333333333;;Swift J174540.2-290005;;;;;;;;;;;;;;;;;;;;16.0;0.00027016506853964244;0.9828890268292989;3638.1055187564916;0.5,10.0;;;;;55.749128919860624;8000.0;;;;;;;;;;;2021MNRAS.507..330S;;;;;;;2013ATel.5095....1H;2013ATel.5095....1H;2017ATel10175....1D;
SWIFT J174540.7-290015;266.4194333333333;-29.00433611111111;0.48762545052529815;2010ApJS..189...37E;359.9483977219043;-0.04629285728843949;XT, RP?;;;CXOGC J174540.6-290015;;;;;;;;;17.161;0.074;12.804;0.016;10.54;0.018;;;;;;10.0;0.550700002092952;246.19200000000004;447.05284013862337;0.2,12.0;;;;;34.843205574912886;8000.0;;;;;;;;;;;;;;;;2016ATel.8689....1S;;2017ApJ...839...76C;2017ApJ...839...76C;2016MNRAS.461.2688P;
2E 1742.5-2858;266.4206541666666;-29.003933333333332;1.0040915989391666;2010ApJS..189...37E;359.94929773387975;-0.04699445515585714;;;;CXOGC J174540.9-290014;;;;;;;;;;;;;;;;;;;;6.0;0.0017863493827276716;18.2;10188.376459821904;0.1,10.0;;0.594;;20.0,60.0;20.905923344947734;8500.0;;;;;;;;;102.0;;;;;;;;;1994A&A...290L..29P;1994A&A...290L..29P;1994A&A...290L..29P;
1E 1742.5-2845;266.42875;-28.781388888888888;;2007A&A...469..807L;0.14295947457638258;0.06287552902491664;;;;;;;;;;;;;;;;;;;;;;;;6.0;0.22;4.76;21.636363636363637;3.0,10.0;;0.155;;20.0,60.0;20.905923344947734;8500.0;;;;;;;;;101.0;;;;;;;;;1981ApJ...250..142W;1981ApJ...250..142W;1981ApJ...250..142W;
XMM J174544-2913.0;266.435596;-29.217094;0.08485281184577752;2003yCat.2246....0C;359.77413401015684;-0.1691651478250542;XT;;;;;;;;;;;17454454-2913015;15.194000244140625;0.04500000178813934;11.0649995803833;0.020999999716877937;8.71500015258789;0.023000000044703484;;;;;;0.6208100622239451;0.0067291485049237;6.13512;911.7230798979914;0.2,12.0;;;;;2.1631012621043384;8000.0;;;;;;;;;;;;;;;;2003yCat.2246....0C;;2016A&A...594A.116H;2016A&A...594A.116H;2012A&A...545A..49D;
MXB 1743-29;266.4458333333333;-29.286666666666665;;2000AstL...26..297E;359.71939088876405;-0.2130212573294245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1E 1742.7-2902;266.4704166666666;-29.05611111111111;120.0;2007A&A...469..807L;359.92741017382446;-0.11131109052254015;;;;;;;;;;;;;;;;;;;;;;;;6.0;0.41000000000000003;6.3500000000000005;15.487804878048781;3.0,10.0;;0.20700000000000002;;20.0,60.0;20.905923344947734;8500.0;;;;;;;;;103.0;;;;;;;;;1981ApJ...250..142W;1981ApJ...250..142W;1981ApJ...250..142W;
SWIFT J174553.7-290347;266.47437499999995;-29.063000000000002;0.6;2010ApJS..189...37E;359.9233292766134;-0.1178513511981478;XT;;;CXOGC J174553.8-290346;;;;;;;;;;;;;;;;;;;;7.0;0.0737454;2.95519;40.072872341868106;0.2,12.0;;;;;24.390243902439025;8000.0;;;;;;;;;;;;;;;;;;2010A&A...524A..69D;2010A&A...524A..69D;2010A&A...524A..69D;
CXOGC J174554.3-285454;266.4769117;-28.915227;1.0062132247151838;2010ApJS..189...37E;0.05066032065155248;-0.042827205908333436;;;;;;;;;;;;;18.260000228881836;0.20999999344348907;14.899999618530273;0.05999999865889549;12.960000038146973;0.05000000074505806;;;;;;;0.0049190976519104;11.8857;2416.2358304442328;0.2,12.0;;;;;;;;;;;;;;;;;;;;;;2013AJ....146..109D;;;;;
1E 1742.8-2853;266.50055480219;-28.91367841171;0.00038738901636468736;2022yCat.1355....0G;0.06275332367991736;-0.0596935704341952;;;;;;11.930000305175781;0.03999999910593033;4057488422376802688;19.188677;0.003793;2.144773;17455993-2854498;15.640999794006348;0.0;12.340999603271484;0.05000000074505806;10.656999588012695;0.054999999701976776;J174600.25-285450.1;4.946000099182129;0.05700000002980232;5.2220001220703125;0.04899999871850014;6.0;0.0034619089342448;6.3500000000000005;1834.2481332153309;3.0,10.0;0.20700000000000002;74.5030005455017;359.9178770314092;20.0,60.0;20.905923344947734;4261.574705;2300.71753;7847.43652;;;;;;;104.0;;;;;2012A&A...548A..79A;2022yCat.1355....0G;2003yCat.2246....0C;2012yCat.2311....0C;1981ApJ...250..142W;1981ApJ...250..142W;2018AJ....156...58B;
1E 1742.9-2852;266.520023;-28.885558;3.64545;2020A&A...641A.136W;0.09563559132876032;-0.059618726787016185;;;;;;;;;;;;;;;;;;;;;;;;6.0;0.0761317;6.3500000000000005;83.40809413161666;3.0,10.0;0.20700000000000002;;;20.0,60.0;20.905923344947734;8500.0;;;;;;;;;105.0;;;;;;;;;1981ApJ...250..142W;1981ApJ...250..142W;1981ApJ...250..142W;
1A 1742-294;266.5217099;-29.514876;1.0225008415377264;2010ApJS..189...37E;359.5589249191071;-0.3882372859592058;XB;;;MXB 1742-29;;;;;;;;;;;;;;;;;;;;1.16;13.538475799629;22600.0;1669.3164233908308;3.0,10.0;24.0;3730.0;155.41666666666666;20.0,60.0;4.041811846689895;8100.0;6899.999999999999;9200.0;;1.4;;;;;97.0;;;;;;;;;2020ApJS..249...32G;2020ApJS..249...32G;2004MNRAS.354..355J;
1E 1742.9-2849;266.5432386;-28.8530487;1.0792015731653015;2010ApJS..189...37E;0.13397585266157308;-0.06007415676738023;;;;;;;;;;;;;;;;;;;;;;;;6.0;0.007181499193257199;6.3500000000000005;884.2164886632718;3.0,10.0;0.20700000000000002;120.20000000000002;580.6763285024155;20.0,60.0;20.905923344947734;8500.0;;;;;;;;;106.0;;;;;;;;;1981ApJ...250..142W;1981ApJ...250..142W;1981ApJ...250..142W;
CXOGBS J174614.3-321949;266.56012840955;-32.33054938776;0.001750380532912772;2022yCat.1355....0G;357.1700143546695;-1.8798025395316647;XT;;;CXB3;M III;;;4054077565563369856;19.324387;0.004864;;17461440-3219494;12.463000297546387;0.03999999910593033;10.777999877929688;0.04100000113248825;10.059000015258789;0.03799999877810478;J174614.40-321949.4;9.5649995803833;0.012000000104308128;9.659000396728516;0.009999999776482582;2.0;0.036420000993969345;0.25587;7.025535228358961;0.2,12.0;;;;;6.968641114982578;8500.0;5500.0;10400.0;;;;;;;;;;;2021MNRAS.506.5619W;;2022yCat.1355....0G;2003yCat.2246....0C;2021ApJS..253....8M;2021MNRAS.506.5619W;2021MNRAS.506.5619W;2021MNRAS.506.5619W;
H1743-322;266.5650333333333;-32.2335;0.5281098370604357;2003ATel..146....1S;357.2551577915383;-1.8329625740892903;RP, US, MQ, XT, BH;;;IGR J17464-3213;;;;;;;;;;;;;13.9;0.2;;;;;;2.0;16.512900000000002;4080.0;247.0795559835038;2.0,10.0;;1200.0;;15.0,30.0;6.968641114982578;8500.0;7700.0;9300.0;75.0;15.0;;;3.4800000190734863;;107.0;;;;;;;2003IAUC.8112....2B;;2012ApJ...745L...7S;2012ApJ...745L...7S;2012ApJ...745L...7S;2012ApJ...745L...7S
1E 1743.1-2843;266.5882352;-28.7287457;1.0090416147286363;2010ApJS..189...37E;0.26066168739269596;-0.029138655324763472;;;;;;12.5;0.03999999910593033;;;;;;;;;;;;;;;;;16.0;6.119490000000001;280.874;45.89826930021946;0.2,12.0;59.345001363754264;82.49000000000001;1.3900075508361494;14.0,195.0;55.749128919860624;9000.0;8000.0;16000.0;;1.4;;;35.0;;109.0;;;;;2012A&A...548A..79A;;;;2016ApJ...822...57L;2016ApJ...822...57L;2016ApJ...822...57L;
CXOGC J174622.2-290634;266.5928509;-29.1097793;2.9451807977443774;2010ApJS..189...37E;359.9372230394613;-0.23061077053052367;XT;;;;;;;;;;;;;;;;;;;;;;;0.34743250134830594;0.005293707338889277;5.293707338889277;999.9999999999999;0.5,10.0;;;;;1.2105662067885223;8000.0;;;;;;;;;;;;;;;;;;2016A&A...594A.116H;2016A&A...594A.116H;2012A&A...545A..49D;
CXOGBS J174623.5-310550;266.59784897162;-31.09719328302;0.0017323196385194044;2022yCat.1355....0G;358.24114337275216;-1.2668136760010629;;0.09166666666666667;;;M0-M5;;;4055891828419134848;20.512514;0.009219;2.053419;;;;;;16.6;;;;;;;0.21;0.0131815;0.0131815;1.0;0.2,12.0;;;;;0.7317073170731707;1800.0;1500.0;10774.8154;;;;;;;;;2019MNRAS.487.2296T;;2015MNRAS.448.1900W;;2022yCat.1355....0G;2019MNRAS.487.2296T;;2009MNRAS.400.2050G;2009MNRAS.400.2050G;2019MNRAS.487.2296T;
CXOGBS J174627.1-254952;266.6131975;-25.8312215;1.5928355289146867;2010ApJS..189...37E;2.7483399579488506;1.4570993985324194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CXOGBS J174633.4-262314;266.63933788595;-26.3872218873;0.00038968561687596325;2022yCat.1355....0G;2.285174884299418;1.148429794902628;;;;;;;;4067041116838655872;19.377544;0.017572;1.319601;;;;;;;;;;;;;;;;;;;;;;;3729.482545;993.661804;7989.14746;;;;;;;;;;;;;2022yCat.1355....0G;;;;;2018AJ....156...58B;
SAX J1747.0-2853;266.760784;-28.8830837;1.0047989875927503;2010ApJS..189...37E;0.20723150391905812;-0.23848521093864353;XB, XT;;;GX +0.2-0.2;;14.199999809265137;0.30000001192092896;;;;;;;;;;;;;;;;;1.0639999565842488;0.0012064937010901;471.20002344414047;390553.2395390033;0.3,10.0;35.035000681877136;44.63;1.2738689633617206;14.0,195.0;3.7073169218963375;7500.0;6200.0;8800.0;;;;;;;124.0;;;;;2012A&A...548A..79A;;;;2020yCat.9058....0E;2020yCat.9058....0E;2004A&A...416..311W;
MXB 1743-28;266.797253;-28.502565;1.27484;2020A&A...641A.136W;0.5492232014153186;-0.06860145070300784;;;;;;;;;;;;;;;;;;;;;;;;;0.0046472893007238995;0.011228400000000001;2.4161181440223602;0.2,12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
XMMU J174716.1-281048;266.8173329;-28.1800165;1.0182347453482836;2010ApJS..189...37E;0.8342524404415979;0.08341253315160702;XB, XT?;;;IGR J17464-2811;;;;;;;;;;;15.3;0.1;;;;;;;;8.9;0.1903999961166969;4.49307;23.59805720398324;0.2,12.0;;;;;31.010452961672478;8400.0;;;;1.4;;;;;125.0;;;;;;;2007ATel.1136....1D;;2011MNRAS.414L.104D;2011MNRAS.414L.104D;2011MNRAS.414L.104D;
IGR J17473-2721;266.8251564;-27.3441521;1.0318725642003983;2010ApJS..189...37E;1.552815849506593;0.5104957900056831;XT, XB;;;XTE J1747-274;;;;;;;;;;;;;16.2;;;;;;;4.39;;5000.0;;1.5,12.0;777.0;10000.0;12.87001287001287;15.0,50.0;15.29616724738676;5400.0;5200.0;7360.0;;1.4;;;9.0;;126.0;;;;;;;2005ATel..521....1J;;2011MNRAS.410..179C;2011MNRAS.410..179C;2011MNRAS.410..179C;
SLX 1744-299;266.8577865;-30.0004526;1.0040915989391666;2010ApJS..189...37E;359.2952124923479;-0.8896071333945614;XB;;;AX J1747.4-3000;;;;;;;;;;;;;;;;;;;;4.57;0.016974898199235998;206.02;12136.744361110366;0.2,12.0;;3.56;;20.0,60.0;15.923344947735192;;;;;1.4;;;7.5;;112.0;;;;;;;;;2005AdSpR..35.1137M;2005AdSpR..35.1137M;;
SLX 1744-300;266.8584204;-30.0449679;1.0055058785877982;2010ApJS..189...37E;359.257404107968;-0.9131186838981661;XB;;;;;;;;;;;;;;;;;;;;;;;4.49;9.622130463818399;1140.9999611800004;118.58080343749688;0.3,10.0;;2.38;;20.0,60.0;15.644599303135887;;;;;1.4;;;7.5;;113.0;;;;;;;;;2005AdSpR..35.1137M;2005AdSpR..35.1137M;;
GX 3+1;266.9837375;-26.563708333333334;0.01;2014ApJ...793..128V;2.2938693902938008;0.7933118259366138;XB, AS;0.7708333333333334;;;;;;;;;;;;;;;15.8;0.1;;;;;;2.42;1509.4960765343978;9635.081339581264;6.382978723404256;2.0,10.0;145.4310010910034;289.05244018743787;1.9875572472100593;10.0,50.0;8.432055749128919;6100.0;4200.0;6500.0;35.4;1.4;;;3.700000047683716;;114.0;;2014ApJ...793..128V;;;;;2014ApJ...793..128V;;2019ApJ...873...99L;2019ApJ...873...99L;2003A&A...400..633D;
CXOGlb J174804.5-244641;267.01906249999996;-24.778366666666667;0.17888543819998318;2020ApJ...904..147U;3.839523727208997;1.6880630696573675;XP?, RP?, XT, GC;;;Terzan 5 CX1;;;;;;;;;;;;;;;;;;;;2.6;0.010218233728285493;0.18888250225012576;18.484848484848484;0.5,10.0;;;;;9.059233449477352;5900.0;5400.0;6400.0;;1.4;;;;2.0;;;;;;;;;;2015MNRAS.452.3475B;2015MNRAS.452.3475B;2010ApJ...717..653L;
IGR J17480-2446;267.02009166666664;-24.78025;0.15;2012A&A...547A..28T;3.838392231797997;1.6862908126914362;XB, GC, XT, BO;0.886439;0.09054;;;24.31;0.22;;;;;;17.5;;16.7;;16.2;;;;;;;2.96;0.040135616311709005;33.6308;837.9290787217509;0.5,10.0;;2.4000000000000004;;20.0,60.0;10.313588850174217;5900.0;5400.0;6400.0;;1.4;0.8;;2.38;;;19.0;2003A&A...404..301R;2003A&A...404..301R;;2012A&A...547A..28T;;2012A&A...547A..28T;;2019MNRAS.487.1447O;2019MNRAS.487.1447O;2010ApJ...717..653L;2012A&A...547A..28T
CXOU J174805.0-244643;267.0208958333333;-24.778852777777775;0.212602916254693;2020ApJ...904..147U;3.8399664988334146;1.6863864243187414;BH?, RP?, GC;;;Ter5-VLA31;;;;;;;;;;;;;;;;;;;;2.0700000000000003;0.0017266481659780183;560.478;324604.6363374386;0.2,12.0;;;;;7.212543554006969;5900.0;5400.0;6400.0;;;;;2.38;;;;;;;;;;;2020ApJ...904..147U;2020ApJ...904..147U;2007AJ....133.1287V;
XTE J1748-288;267.02108333333337;-28.47383333333333;3.981530048556861;1998IAUC.6934S...1H;0.675602696764862;-0.22208013370457483;XT, MQ, RP, BH;;;;;13.600000381469727;0.10000000149011612;;;;;;;;;;;;;;;;;;;9.29;;3.0,10.0;;0.30300000000000005;;20.0,60.0;;8000.0;;;;;;;;;127.0;;;;;2012A&A...548A..79A;;;;;;2016A&A...587A..61C;
EXO 1745-248;267.0217916666667;-24.779888888888888;0.01;2015ATel.7470....1F;3.8394985053497788;1.6851550672351383;XB, GC, XT, DS;;;;;;;;;;;;;;;;;;;;;;;2.0199999999999996;0.699700009303833;3287.4707343444193;4698.4003010308525;2.0,10.0;0.3806545060819853;2880.0;7565.915952613748;40.0,100.0;7.038327526132403;5500.0;4600.0;6400.0;;1.4;;;2.0999999046325684;;116.0;;;;;;;;;2017A&A...603A..39M;2017A&A...603A..39M;2007A&A...470.1043O;
NAME TER 5 X-3;267.02254166666665;-24.777130555555555;1.0755314828901414;2010ApJS..189...37E;3.8422137860351615;1.685995142800055;GC, XB, XT;;;;;;;;;;;;;;;;;;;;;;;1.2940000280439576;0.699700009303833;560.478;801.0261434148728;0.2,12.0;;;;;4.508710899107866;5900.0;5400.0;6400.0;;1.4;;;;;;;;;;;;;;2020yCat.9058....0E;2020yCat.9058....0E;2010ApJ...717..653L;
XTE J1748-361;267.0546765;-36.13281;1.050139482455745;2010ApJS..189...37E;354.1196655719003;-4.192153796418509;DS, BO, XB, RP, AS?, XT;0.0675;0.0018867924528301887;1A 1744-361;;20.899999618530273;;;;;;;;;;;;;;;;;;0.6262000265529775;;2529.741235433957;;0.3,10.0;;14.8;;20.0,60.0;2.1818816256201305;9000.0;;;;;;;;;115.0;95.0;2007A&A...469..807L;2006ApJ...639L..31B;;2004ATel..267....1S;;;;2020yCat.9058....0E;2020yCat.9058....0E;2006ApJ...639L..31B;
NGC 6440 CX13;267.216125;-20.359402777777778;1.0196489814294174;2010ApJS..189...37E;7.727664479081844;3.804460251271947;GC, QNS?;;;[RTB2002] J174851.87-202133.9;;;;;;;;;;;;;;;;;;;;0.59;;0.005327313980127139;;0.01,10.0;;;;;2.0557491289198606;8400.0;7100.0;9900.0;;1.4;;;;;;;;;;;;;;2003ApJ...598..501H;2003ApJ...598..501H;2003A&A...399..663K;
SAX J1748.9-2021;267.2173375;-20.359001666666668;0.5;2017ApJ...844...53C;7.7285931958521505;3.8036892883329685;GC, AS, XP, XB, XT;0.365;0.00226;4U 1745-203;;;;;;;;;;;;;;;;;;;;6.0;;1909.9999999999998;;3.0,10.0;;315.0;;20.0,60.0;20.905923344947734;8400.0;7100.0;9900.0;14.0;1.4;0.83;;1.0;;128.0;38.0;2008ApJ...674L..45A;2009ApJ...690.1856P;;;;;;2021ATel15048....1P;2021ATel15048....1P;2003A&A...399..663K;2017ApJ...844...53C
NGC 6440 CX3;267.2184125;-20.35888888888889;1.0977586577084273;2010ApJS..189...37E;7.729207542655575;3.802881382557436;GC, QNS?;;;[RTB2002] J174852.41-202132.2;;;;;;;;;;;;;;;;;;;;0.59;0.03661576922753132;0.05440057142376081;1.4857142857142855;0.5,10.0;;;;;2.0557491289198606;8400.0;7100.0;9900.0;;1.4;;;;;;;;;;;;;;2015MNRAS.449.1238W;2015MNRAS.449.1238W;2003A&A...399..663K;
NGC 6440 CX7;267.2192708333333;-20.361250000000002;1.0196489814294174;2010ApJS..189...37E;7.727588059141599;3.800981065158039;GC, QNS?;;;[RTB2002] J174852.64-202140.6;;;;;;;;;;;;;;;;;;;;0.69;0.016519206466984654;0.021024444594344105;1.2727272727272727;0.5,10.0;;;;;2.4041811846689893;8400.0;7100.0;9900.0;;1.4;;;;;;;;;;;;;;2015MNRAS.449.1238W;2015MNRAS.449.1238W;2003A&A...399..663K;
CXOGlb J174852.7-202124;267.2198333333333;-20.35666666666667;1.0069200739427326;2010ApJS..189...37E;7.731804145388657;3.802875220375194;GC, XT, XP;0.040022;0.004857;NGC 6440 X-2;;21.0;;;;;;;;;;;;;;;;;;0.7;0.513659;24.319999139543746;47.34658428946781;0.3,10.0;;;;;2.4390243902439024;8400.0;7100.0;9900.0;;1.4;0.0076;;1.07;;;93.0;2003A&A...404..301R;2003A&A...404..301R;;2010ApJ...714..894H;;;;2015MNRAS.449.1238W;2015MNRAS.449.1238W;2003A&A...399..663K;2015ApJ...814..138B
NGC 6440 CX10;267.2203083333333;-20.358697222222222;1.0055058785877982;2010ApJS..189...37E;7.730284750048874;3.801452875572738;GC, QNS?;;;[PLV2002] CX10;;;;;;;;;;;;;;;;;;;;0.59;0.00039329012358696;0.05822878071301757;148.05553768283903;0.01,10.0;;;;;2.0557491289198606;8400.0;7100.0;9900.0;;1.4;;;;;;;;;;;;;;2003ApJ...598..501H;2003ApJ...598..501H;2003A&A...399..663K;
NGC 6440 CX5;267.2203083333333;-20.361836111111113;1.0196489814294174;2010ApJS..189...37E;7.727582726739868;3.7998454640514256;GC, QNS?;;;[RTB2002] J174852.87-202142.5;;;;;;;;;;;;;;;;;;;;0.7;0.038381978957038945;0.06928694902634303;1.805194805194805;0.5,10.0;;;;;2.4390243902439024;8400.0;7100.0;9900.0;;1.4;;;;;;;;;;;;;;2015MNRAS.449.1238W;2015MNRAS.449.1238W;2003A&A...399..663K;
NGC 6440 CX12;267.2213458333333;-20.357508333333335;1.028846471742983;2010ApJS..189...37E;7.731807381670478;3.801226217254551;GC, QNS?;;;[RTB2002] J174853.12-202127.0;;;;;;;;;;;;;;;;;;;;1.89;0.050149590114291244;0.09603113000608961;1.9148936170212765;0.5,10.0;;;;;6.585365853658536;8400.0;7100.0;9900.0;;1.4;;;;;;;;;;;;;;2015MNRAS.449.1238W;2015MNRAS.449.1238W;2003A&A...399..663K;
NGC 6440 CX2;267.2215875;-20.360772222222224;1.0055058785877982;2010ApJS..189...37E;7.729114021489562;3.799360210159373;GC, QNS?;;;[RTB2002] J174853.17-202138.7;;;;;;;;;;;;;;;;;;;;0.74;0.07113375335952651;0.09713436665645689;1.3655172413793102;0.5,10.0;;;;;2.578397212543554;8400.0;7100.0;9900.0;;1.4;;;;;;;;;;;;;;2015MNRAS.449.1238W;2015MNRAS.449.1238W;2003A&A...399..663K;
[ZGV2011] 3;267.2230833333333;-20.36722222222222;;2011A&A...533A..33Z;7.724281415888025;3.794852725810488;GC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8400.0;7100.0;9900.0;;;;;;;;;;;;;;;;;;2003A&A...399..663K;
[ZGV2011] 6;267.2322083333333;-24.894472222222223;;2011A&A...533A..33Z;3.839715077689516;1.462460721512155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IGR J17494-3030;267.348375;-30.499750000000002;0.1004987562112089;2020ATel14129....1V;359.0859689854329;-1.5101937919134774;XT, XP, RP;0.052044791666666666;0.002659219644588837;;WD?;;;4056028099172996352;19.91577;0.006388;;;16.418;0.048;15.871;0.124;15.365;0.159;;;;;;2.0700000000000003;1.2100000000000002;101.0;83.47107438016528;0.3,10.0;;230.4;;20.0,60.0;7.212543554006969;5550.75146;3424.80493;8592.8623;;1.4;0.02;;;;;;2021ApJ...908L..15N;2021ApJ...908L..15N;2021ApJ...908L..15N;;2022yCat.1355....0G;2012A&A...537A.107S;;2021ApJ...908L..15N;2021ApJ...908L..15N;2021AJ....161..147B;2021ApJ...908L..15N
SWIFT J1749.4-2807;267.38308333333333;-28.134944444444443;0.31;2009ApJ...690..163R;1.1302818978155067;-0.32056251039099637;XB, XP, XT;0.367369;0.00193;J1749-2808;G3V-G5V;;;;;;;;;;;;;;;;;;;3.0;0.0011336903276777;345.3;304580.52924146166;0.2,12.0;;;;;10.452961672473867;6700.0;5400.0;8000.0;77.30000305175781;1.4;1.0;;;;;37.0;2003A&A...404..301R;2003A&A...404..301R;2022MNRAS.514.4385S;;;2013MNRAS.429..523J;;2011A&A...525A..48F;2011A&A...525A..48F;2009MNRAS.393..126W;2022MNRAS.514.4385S
